policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,segment,fuel_type,max_torque,is_adjustable_steering,is_parking_sensors,displacement,cylinder,steering_type,length,width,is_front_fog_lights,is_brake_assist,is_power_door_locks,is_central_locking,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,is_claim
0.51587359,0.05,0.644230769,0,4990,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.672618514,0.02,0.375,11,27003,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.841110256,0.02,0.384615385,15,4076,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.900276559,0.11,0.432692308,16,21622,3,2,0,1,1,1197,4,0,3995,1735,1,1,1,1,1,1,1,1,0
0.596402813,0.11,0.634615385,17,34738,0,2,8,0,0,999,3,0,3731,1579,0,0,1,1,0,1,1,1,0
1.018708538,0.07,0.519230769,18,13051,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.097992158,0.16,0.403846154,19,6112,2,1,3,1,1,1497,4,0,3990,1755,0,0,1,1,0,0,1,1,0
0.509084671,0.14,0.423076923,20,8794,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.282393518,0.07,0.298076923,19,6112,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.566255433,0.04,0.442307692,21,17804,2,2,0,1,1,1197,4,0,3990,1745,1,1,1,1,1,1,1,1,0
0.951416171,0.01,0.596153846,17,34738,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.083180015,0.12,0.298076923,15,4076,1,0,6,0,1,998,3,2,3655,1620,0,0,1,1,0,0,1,1,0
0.045833999,0.03,0.480769231,15,4076,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,1
0.520336974,0.1,0.307692308,1,73430,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.213588588,0.04,0.403846154,2,6108,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.897770851,0.04,0.576923077,17,34738,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.321144554,0.03,0.605769231,11,27003,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.241421248,0.12,0.471153846,21,17804,3,1,2,1,1,1498,4,0,3995,1695,1,0,1,1,1,1,1,1,0
0.295966729,0.12,0.5,20,8794,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.758622595,0.09,0.394230769,17,34738,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,1
0.301701572,0.05,0.403846154,2,6108,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.527085217,0.0,0.615384615,16,21622,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,1
0.630598332,0.08,0.317307692,11,27003,5,0,7,0,1,1196,4,1,3675,1475,0,0,0,0,0,0,0,1,0
0.99944326,0.08,0.576923077,11,27003,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,1
0.02056262,0.01,0.480769231,20,8794,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,1
0.240958874,0.07,0.317307692,15,4076,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.775663608,0.02,0.375,2,6108,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.524680615,0.15,0.394230769,11,27003,2,2,0,1,1,1197,4,0,3990,1745,1,1,1,1,1,1,1,1,0
0.543358191,0.07,0.326923077,11,27003,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
1.124538112,0.07,0.490384615,20,8794,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,1
1.102728948,0.12,0.298076923,3,34791,1,0,6,0,1,998,3,2,3655,1620,0,0,1,1,0,0,1,1,0
1.146741204,0.13,0.461538462,15,4076,2,2,0,1,1,1197,4,0,3990,1745,1,1,1,1,1,1,1,1,0
0.796578491,0.02,0.461538462,0,4990,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.530241345,0.15,0.480769231,1,73430,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.468720629,0.01,0.403846154,11,27003,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
1.193936298,0.39,0.403846154,20,8794,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.758760266,0.01,0.384615385,17,34738,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
1.152403851,0.08,0.490384615,4,5410,1,0,6,0,1,998,3,2,3655,1620,0,0,1,1,0,0,1,1,0
1.124138178,0.12,0.403846154,20,8794,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.128866092,0.02,0.576923077,15,4076,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.247247659,0.08,0.471153846,20,8794,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.112364879,0.0,0.384615385,15,4076,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
0.844741731,0.04,0.394230769,15,4076,2,1,3,1,1,1497,4,0,3990,1755,0,0,1,1,0,0,1,1,0
0.132377284,0.07,0.490384615,20,8794,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
1.055754509,0.1,0.923076923,20,8794,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.715804194,0.02,0.403846154,15,4076,0,0,5,0,1,796,3,2,3445,1515,0,0,0,0,0,0,0,1,0
1.216342248,0.15,0.692307692,20,8794,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
0.082137239,0.03,0.326923077,15,4076,4,1,4,1,1,1493,4,2,4300,1790,1,1,1,1,1,0,1,1,0
1.235398749,0.11,0.471153846,20,8794,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.345261469,0.03,0.451923077,17,34738,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
0.916421269,0.0,0.326923077,11,27003,2,1,3,1,1,1497,4,0,3990,1755,0,0,1,1,0,0,1,1,0
1.088505468,0.01,0.413461538,11,27003,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
1.075523255,0.17,0.682692308,4,5410,2,2,0,1,1,1197,4,0,3845,1735,1,1,1,1,1,1,1,1,0
